route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Delhi-Jaipur,2024-11-11,4.17,+35.5% vs this route's past average,+21.0% vs similar-length routes this week,Yes,,"No retrieved note applies to the Delhi-Jaipur route within the required 14‑day window or describes a cost‑increasing event. The closest note (N007) is dated 2024‑05‑20 and mentions improved road conditions, which would lower costs, not justify the +35.5% surge."
Delhi-Jaipur,2024-11-18,4.09,+27.6% vs this route's past average,+19.7% vs similar-length routes this week,Yes,,"No retrieved note applies to the Delhi-Jaipur route within the required 14‑day window around the week of 2024‑11‑18, nor describes a cost‑increasing event that could explain the +27.6% surge. The closest note (N003) mentions diesel price hikes but is dated 2025‑05‑05, well outside the allowed timeframe."
Ahmedabad-Mumbai,2025-01-20,3.29,+29.5% vs this route's past average,+22.5% vs similar-length routes this week,No (justified),N002,"Note N002 dated 2025-01-20 applies to Ahmedabad-Mumbai and reports a regional festival week surcharge due to high demand and limited truck availability, directly explaining the observed cost surge."
Chennai-Bangalore,2025-02-24,3.58,+31.5% vs this route's past average,+38.7% vs similar-length routes this week,No (justified),N001,"Note N001 dated 2025-02-24 reports heavy flooding on the Chennai-Bangalore highway causing detours and higher trip costs during the week of 2025-02-24, directly explaining the observed cost surge."
Chennai-Bangalore,2025-03-03,3.48,+22.8% vs this route's past average,+32.0% vs similar-length routes this week,No (justified),N001,"Note N001 (2025-02-24) reports heavy flooding on the Chennai-Bangalore highway from Feb 24 to Mar 8, forcing longer detours and higher trip costs; this event falls within 14 days of the week_of date and directly explains the +22.8% cost surge."
Chennai-Bangalore,2025-03-10,3.57,+22.1% vs this route's past average,+33.8% vs similar-length routes this week,No (justified),N001,"Note N001 dated 2025-02-24 reports heavy flooding on the Chennai‑Bangalore highway from Feb 24 to Mar 8, causing detours and higher trip costs, which explains the +22% cost surge for the week of 2025‑03‑10."
Chennai-Bangalore,2025-03-17,3.47,+13.7% vs this route's past average,+33.5% vs similar-length routes this week,Yes,,"No retrieved note meets the criteria to justify the cost surge for Chennai-Bangalore week of 2025-03-17. The closest note (N001) describes flooding but its date (2025-02-24) is outside the 14‑day window and the event ended before the week in question. Other notes are either unrelated, dated after the week, or state that conditions were normal, thus they do not explain the increase."
Mumbai-Pune,2025-06-23,3.76,+6.2% vs this route's past average,+20.6% vs similar-length routes this week,Yes,,"No retrieved note meets the criteria to justify the +20.6% cost surge for Mumbai-Pune week of 2025-06-23. The only potentially relevant note (N003) is dated 2025-05-05, which is outside the required 14‑day window and does not specify an ongoing event covering late June. All other notes are either unrelated, dated far outside the window, or explicitly state no cost impact."
Mumbai-Pune,2025-09-15,3.98,+9.2% vs this route's past average,+23.6% vs similar-length routes this week,Yes,,"No retrieved note provides a valid explanation for the +23.6% cost surge on the Mumbai-Pune route for week of 2025-09-15. The only note within the 14‑day window (N006, 2025-09-22) explicitly states that demand was stable and there were no major disruptions, which does not justify a cost increase. All other notes are either outside the relevant date range or describe unrelated events."
Mumbai-Pune,2025-10-06,3.94,+5.4% vs this route's past average,+22.9% vs similar-length routes this week,Yes,,"No retrieved note provides a valid explanation for the 22.9% cost surge on the Mumbai-Pune route for week of 2025-10-06. The only note within the relevant time window (N006, dated 2025-09-22) states that demand remained stable with no major disruptions, which does not justify the cost increase."
Mumbai-Pune,2025-10-20,4.10,+7.7% vs this route's past average,+24.8% vs similar-length routes this week,Yes,,"No retrieved note provides a valid justification for the 24.8% cost surge on the Mumbai-Pune route for the week of 2025-10-20. The only note within the 14‑day window (N010) explicitly states that compliance costs were absorbed without a rate change, which does not explain a cost increase. Other notes are either too old or indicate no disruptions."
Mumbai-Pune,2025-10-27,4.07,+5.5% vs this route's past average,+28.3% vs similar-length routes this week,Yes,,"No retrieved note provides a valid explanation for the 28.3% cost surge on the Mumbai-Pune route for week of 2025-10-27. The only same‑day note (N010) states that compliance costs were absorbed without a rate change, which does not justify higher costs, and the other notes are either outdated or indicate no disruptions."
Mumbai-Pune,2025-11-03,4.20,+7.4% vs this route's past average,+24.1% vs similar-length routes this week,Yes,,"No retrieved note provides a valid justification for the 24.1% cost surge on the Mumbai-Pune route for week of 2025-11-03. The only note within the 14‑day window (N010, 2025-10-27) states that compliance costs were absorbed without a rate change, which does not explain a cost increase. All other notes are either outside the relevant date range or describe stable conditions."
Mumbai-Pune,2025-11-10,3.97,-0.1% vs this route's past average,+21.4% vs similar-length routes this week,Yes,,"No retrieved note provides a valid explanation for the 21.4% cost surge on the Mumbai-Pune route for week of 2025-11-10. The only recent note (N010, dated 2025-10-27) states that compliance costs were absorbed without a rate change, which does not justify higher costs. Earlier notes are either outside the 14‑day window or describe stable conditions, so the surge remains unexplained."
Mumbai-Pune,2025-11-17,4.32,+8.9% vs this route's past average,+31.6% vs similar-length routes this week,Yes,,"No retrieved note provides a valid explanation for the cost surge on the Mumbai-Pune route for week of 2025-11-17. The closest note (N003) about diesel price hikes is dated 2025-05-05, far outside the 14‑day window, and the other notes either report no disruptions or state costs were absorbed without rate changes."
